region	Oct4	Sox2
chr1:430476-430576	0	0
chr1:4515889-4515989	0	0
chr1:5118297-5118397	0	1
chr1:5375231-5375331	0	1
chr1:6206367-6206467	0	1
chr1:6305307-6305407	1	0
chr1:7303301-7303401	1	0
chr1:7680517-7680617	0	1
chr1:7696610-7696710	0	0
chr1:9840703-9840803	0	1
chr1:11322711-11322811	0	1
chr1:11989687-11989787	0	1
chr1:12567154-12567254	0	1
chr1:13323065-13323165	0	1
chr1:13866188-13866288	0	1
chr1:14298755-14298855	0	1
chr1:14924723-14924823	0	1
chr1:16832221-16832321	0	0
chr1:17681249-17681349	0	0
chr1:18961294-18961394	0	0
chr1:19588688-19588788	0	0
chr1:22367094-22367194	1	0
chr1:22714633-22714733	1	0
chr1:23141177-23141277	0	1
chr1:23267233-23267333	0	1
chr1:24259523-24259623	1	0
chr1:25443079-25443179	1	0
chr1:26347270-26347370	1	0
chr1:30398536-30398636	1	0
chr1:30665080-30665180	0	1
chr1:32659366-32659466	0	0
chr1:33573500-33573600	1	0
chr1:33702123-33702223	1	0
chr1:35303454-35303554	1	0
chr1:38123840-38123940	0	0
chr1:40300222-40300322	1	0
chr1:40637114-40637214	0	0
chr1:41370713-41370813	0	1
chr1:41773063-41773163	0	0
chr1:41841026-41841126	1	0
chr1:42191670-42191770	1	0
chr1:43067766-43067866	0	0
chr1:43632695-43632795	0	1
chr1:44163571-44163671	0	1
chr1:44643665-44643765	0	1
chr1:44762120-44762220	0	1
chr1:45286431-45286531	0	1
chr1:47948006-47948106	1	0
chr1:48697373-48697473	0	1
chr1:48717772-48717872	1	0
chr1:49144579-49144679	1	0
chr1:49418254-49418354	0	1
chr1:49506185-49506285	1	0
chr1:51120441-51120541	0	0
chr1:51202382-51202482	0	1
chr1:51286928-51287028	0	1
chr1:52212598-52212698	0	0
chr1:52949141-52949241	0	0
chr1:52968503-52968603	1	0
chr1:53230754-53230854	0	1
chr1:53426613-53426713	0	1
chr1:54125138-54125238	0	1
chr1:54287760-54287860	0	1
chr1:55255605-55255705	0	1
chr1:55678275-55678375	1	0
chr1:56013772-56013872	0	1
chr1:57261245-57261345	1	0
chr1:57854062-57854162	0	1
chr1:58058770-58058870	0	1
chr1:58442164-58442264	0	0
chr1:58680254-58680354	0	1
chr1:60245698-60245798	0	1
chr1:61367320-61367420	1	0
chr1:61677553-61677653	0	1
chr1:62311415-62311515	0	0
chr1:62926028-62926128	1	0
chr1:63962210-63962310	1	0
chr1:65374707-65374807	0	0
chr1:66047421-66047521	1	0
chr1:66275729-66275829	1	0
chr1:66449423-66449523	0	1
chr1:66720635-66720735	0	1
chr1:66838474-66838574	0	1
chr1:67227122-67227222	0	0
chr1:67630613-67630713	1	0
chr1:68816764-68816864	1	0
chr1:69131078-69131178	0	1
chr1:69152027-69152127	0	1
chr1:69342891-69342991	1	0
chr1:70422530-70422630	1	0
chr1:72163631-72163731	0	0
chr1:72284068-72284168	0	1
chr1:72738978-72739078	0	1
chr1:73843368-73843468	0	0
chr1:75302587-75302687	0	1
chr1:75767600-75767700	1	0
chr1:76794829-76794929	0	0
chr1:77023214-77023314	0	1
chr1:78837135-78837235	0	0
chr1:78982261-78982361	0	0
chr1:79288784-79288884	0	0
chr1:79709709-79709809	0	0
chr1:80234193-80234293	0	1
chr1:80392173-80392273	0	1
chr1:80632178-80632278	1	0
chr1:80790159-80790259	0	0
chr1:80894367-80894467	0	1
chr1:80901046-80901146	1	0
chr1:80926066-80926166	1	0
chr1:81473544-81473644	0	1
chr1:81953871-81953971	1	0
chr1:82538094-82538194	1	0
chr1:83280269-83280369	1	0
chr1:87963266-87963366	0	1
chr1:88629505-88629605	0	0
chr1:88687573-88687673	0	1
chr1:89120917-89121017	0	1
chr1:89773783-89773883	1	0
chr1:90809748-90809848	0	0
chr1:91146342-91146442	0	0
chr1:91151529-91151629	0	0
chr1:92595713-92595813	0	0
chr1:92678531-92678631	0	0
chr1:93743224-93743324	1	0
chr1:93948782-93948882	0	0
chr1:94384617-94384717	0	0
chr1:96142506-96142606	0	1
chr1:97496031-97496131	0	1
chr1:98452597-98452697	0	0
chr1:99212454-99212554	0	0
chr1:99466689-99466789	0	0
chr1:99658293-99658393	0	1
chr1:100696919-100697019	0	0
chr1:101469159-101469259	0	1
chr1:102528580-102528680	0	1
chr1:103460402-103460502	0	0
chr1:104955866-104955966	0	1
chr1:105812390-105812490	0	0
chr1:110792561-110792661	0	0
chr1:111471981-111472081	0	0
chr1:112492643-112492743	0	0
chr1:113140988-113141088	0	0
chr1:117573547-117573647	1	0
chr1:119003450-119003550	0	1
chr1:119337588-119337688	0	1
chr1:119705389-119705489	0	0
chr1:120652607-120652707	0	0
chr1:124830215-124830315	1	0
chr1:124887811-124887911	0	1
chr1:125347376-125347476	1	0
chr1:125391462-125391562	0	1
chr1:126294287-126294387	1	0
chr1:126631856-126631956	0	0
chr1:127865310-127865410	0	0
chr1:129283577-129283677	0	0
chr1:129990044-129990144	1	0
chr1:131543326-131543426	1	0
chr1:132279992-132280092	1	0
chr1:132906755-132906855	0	0
chr1:133207667-133207767	1	0
chr1:133341252-133341352	0	1
chr1:133395046-133395146	0	1
chr1:135381124-135381224	1	0
chr1:136353384-136353484	0	0
chr1:137571455-137571555	1	0
chr1:137933190-137933290	0	0
chr1:138562805-138562905	1	0
chr1:138987659-138987759	1	0
chr1:139060903-139061003	0	0
chr1:139897279-139897379	0	0
chr1:140043756-140043856	0	1
chr1:140911957-140912057	0	1
chr1:141158932-141159032	0	1
chr1:141273657-141273757	0	1
chr1:141480130-141480230	0	0
chr1:142686892-142686992	1	0
chr1:143004326-143004426	0	1
chr1:143232232-143232332	0	0
chr1:143640087-143640187	0	1
chr1:144058642-144058742	0	0
chr1:144130811-144130911	0	1
chr1:144355733-144355833	0	0
chr1:144975067-144975167	1	0
chr1:145165041-145165141	0	1
chr1:145757692-145757792	0	1
chr1:145771646-145771746	1	0
chr1:146303872-146303972	0	0
chr1:152624558-152624658	1	0
chr1:153103994-153104094	0	1
chr1:159173895-159173995	0	1
chr1:159525868-159525968	0	0
chr1:160821766-160821866	1	0
chr1:162165495-162165595	1	0
chr1:162329990-162330090	1	0
chr1:163031748-163031848	0	0
chr1:163036896-163036996	0	1
chr1:163798964-163799064	0	1
chr1:165347604-165347704	1	0
chr1:166176295-166176395	1	0
chr1:167393159-167393259	0	1
chr1:167865364-167865464	1	0
chr1:168164953-168165053	0	0
chr1:168600508-168600608	0	0
chr1:170470676-170470776	0	0
chr1:174383136-174383236	0	0
chr1:175998658-175998758	0	1
chr1:176227240-176227340	0	1
chr1:176544006-176544106	0	0
chr1:176547899-176547999	0	1
chr1:177139300-177139400	0	1
chr1:177509519-177509619	1	0
chr1:179079029-179079129	0	1
chr1:179091799-179091899	1	0
chr1:179118820-179118920	1	0
chr1:179214177-179214277	1	0
chr1:179417684-179417784	0	1
chr1:179808354-179808454	0	0
chr1:181302837-181302937	0	0
chr1:182212777-182212877	0	0
chr1:184451298-184451398	0	0
chr1:188300272-188300372	0	0
chr1:189593203-189593303	0	0
chr1:194882316-194882416	0	0
chr1:195924111-195924211	1	0
chr10:658492-658592	0	0
chr10:874854-874954	0	0
chr10:3050923-3051023	1	0
chr10:4273913-4274013	0	1
chr10:6800032-6800132	0	0
chr10:6866279-6866379	1	0
chr10:6927865-6927965	1	0
chr10:7181891-7181991	0	0
chr10:7675296-7675396	0	0
chr10:8133503-8133603	1	0
chr10:8794710-8794810	0	0
chr10:9376568-9376668	0	1
chr10:9427842-9427942	1	0
chr10:10833702-10833802	1	0
chr10:11173559-11173659	0	1
chr10:11754732-11754832	1	0
chr10:12269074-12269174	0	1
chr10:13031607-13031707	0	1
chr10:13625519-13625619	1	0
chr10:14668285-14668385	0	1
chr10:14711289-14711389	0	0
chr10:14975807-14975907	1	0
chr10:16090668-16090768	0	1
chr10:16565723-16565823	1	0
chr10:17523986-17524086	0	1
chr10:20252843-20252943	0	1
chr10:21953787-21953887	0	1
chr10:23030096-23030196	0	0
chr10:24689303-24689403	1	0
chr10:25094638-25094738	0	1
chr10:25401171-25401271	0	1
chr10:25419651-25419751	0	1
chr10:25806599-25806699	0	1
chr10:26798082-26798182	0	1
chr10:26979082-26979182	0	0
chr10:27312870-27312970	1	0
chr10:30101603-30101703	0	1
chr10:30110648-30110748	0	1
chr10:30116788-30116888	0	1
chr10:30546464-30546564	1	0
chr10:30901760-30901860	0	1
chr10:32248930-32249030	0	1
chr10:32310936-32311036	1	0
chr10:32334483-32334583	0	0
chr10:34194313-34194413	0	1
chr10:34553313-34553413	1	0
chr10:35152660-35152760	0	1
chr10:35646620-35646720	0	1
chr10:37854798-37854898	0	0
chr10:38190259-38190359	0	0
chr10:38316942-38317042	0	0
chr10:40789104-40789204	1	0
chr10:41608037-41608137	1	0
chr10:42874505-42874605	1	0
chr10:43169675-43169775	0	0
chr10:43454780-43454880	0	0
chr10:43495105-43495205	1	0
chr10:43777390-43777490	0	0
chr10:44311251-44311351	0	0
chr10:44373378-44373478	0	0
chr10:44843197-44843297	0	0
chr10:44956722-44956822	0	1
chr10:46262795-46262895	0	1
chr10:46976187-46976287	0	0
chr10:47645355-47645455	0	0
chr10:47771718-47771818	0	0
chr10:48354348-48354448	1	0
chr10:48514215-48514315	1	0
chr10:48884928-48885028	1	0
chr10:49246172-49246272	0	0
chr10:49287523-49287623	1	0
chr10:49366028-49366128	1	0
chr10:50504850-50504950	0	1
chr10:51071818-51071918	0	1
chr10:51681557-51681657	0	1
chr10:52560560-52560660	0	1
chr10:52659496-52659596	1	0
chr10:52860577-52860677	0	1
chr10:53502422-53502522	0	0
chr10:54528083-54528183	1	0
chr10:54552080-54552180	1	0
chr10:54722197-54722297	0	0
chr10:55449067-55449167	1	0
chr10:55841009-55841109	1	0
chr10:55960969-55961069	0	0
chr10:56286186-56286286	0	0
chr10:56317631-56317731	0	1
chr10:56337137-56337237	1	0
chr10:57735329-57735429	0	1
chr10:60765771-60765871	0	0
chr10:61785986-61786086	0	0
chr10:63092462-63092562	1	0
chr10:67702427-67702527	0	1
chr10:68121806-68121906	1	0
chr10:69670324-69670424	1	0
chr10:69872258-69872358	0	0
chr10:71394205-71394305	1	0
chr10:72091196-72091296	0	0
chr10:73205733-73205833	1	0
chr10:74059716-74059816	1	0
chr10:75742076-75742176	0	0
chr10:80858413-80858513	0	0
chr10:81504950-81505050	0	1
chr10:86862281-86862381	0	0
chr10:87976885-87976985	0	1
chr10:88354700-88354800	0	1
chr10:88746668-88746768	1	0
chr10:89075294-89075394	0	0
chr10:90143080-90143180	1	0
chr10:90536621-90536721	0	0
chr10:91147095-91147195	0	1
chr10:91456719-91456819	1	0
chr10:92122176-92122276	0	0
chr10:96509747-96509847	0	1
chr10:96616914-96617014	0	1
chr10:96664083-96664183	1	0
chr10:97543994-97544094	0	1
chr10:98660354-98660454	0	1
chr10:99292849-99292949	0	0
chr10:99367257-99367357	0	1
chr10:99410625-99410725	1	0
chr10:102499096-102499196	1	0
chr10:103738855-103738955	0	0
chr10:105128427-105128527	0	0
chr10:105818413-105818513	0	0
chr10:106013110-106013210	0	1
chr10:106205371-106205471	0	1
chr10:106671269-106671369	0	1
chr10:107908073-107908173	1	0
chr10:108347369-108347469	0	0
chr10:108424256-108424356	1	0
chr10:108459870-108459970	0	1
chr10:108739388-108739488	0	1
chr10:108828357-108828457	0	1
chr10:109305326-109305426	0	1
chr10:109829692-109829792	0	1
chr10:110348635-110348735	0	1
chr10:110875510-110875610	0	0
chr10:111148528-111148628	1	0
chr10:111224738-111224838	0	0
chr10:111545498-111545598	0	1
chr10:113922886-113922986	0	0
chr10:114921594-114921694	0	1
chr10:115436620-115436720	1	0
chr10:116782630-116782730	1	0
chr10:117932889-117932989	1	0
chr10:118031955-118032055	1	0
chr10:119285179-119285279	0	0
chr10:119464712-119464812	1	0
chr10:119689187-119689287	1	0
chr10:120291429-120291529	0	1
chr10:122849005-122849105	0	0
chr10:122891120-122891220	1	0
chr10:123477943-123478043	1	0
chr10:123529326-123529426	0	0
chr10:123573444-123573544	1	0
chr10:124462265-124462365	0	0
chr10:124935750-124935850	0	1
chr10:126378550-126378650	1	0
chr10:127380069-127380169	1	0
